x,y,seed
5000,-4.571239200000001,3
5100,-4.539239420000001,3
5200,-4.5292394200000015,3
5300,-4.475845680000002,3
5400,-4.432228560000001,3
5500,-4.412136680000002,3
5600,-4.392136680000003,3
5700,-4.353605660000003,3
5800,-4.360079860000002,3
5900,-4.336079880000001,3
6000,-4.317856580000001,3
6100,-4.27883618,3
6200,-4.2254759,3
6300,-4.21147588,3
6400,-4.2006641600000005,3
6500,-4.174664140000001,3
6600,-4.144664140000001,3
6700,-4.1226641399999995,3
6800,-4.09066414,3
6900,-4.0840419400000005,3
7000,-4.074041940000001,3
7100,-4.0326397400000005,3
7200,-3.9816136400000004,3
7300,-3.9856037000000004,3
7400,-3.9580004600000005,3
7500,-3.9340004600000005,3
7600,-3.91800046,3
7700,-3.90399236,3
7800,-3.90199238,3
7900,-3.8960005000000004,3
8000,-3.8980004999999998,3
8100,-3.8840005000000004,3
8200,-3.8780005600000003,3
8300,-3.8437464800000005,3
8400,-3.8097464800000007,3
8500,-3.7857464800000002,3
8600,-3.76774648,3
8700,-3.7456222399999994,3
8800,-3.71962224,3
8900,-3.6956222399999996,3
9000,-3.6536222399999994,3
9100,-3.60009026,3
9200,-3.58244534,3
9300,-3.5478780800000003,3
9400,-3.5318780800000003,3
9500,-3.51837052,3
9600,-3.50840326,3
9700,-3.48711098,3
9800,-3.45221966,3
9900,-3.4467826200000005,3
10000,-3.4387134600000007,3
10100,-3.4061060000000007,3
10200,-3.3861060000000003,3
10300,-3.40350432,3
10400,-3.3931057200000003,3
10500,-3.3671976,3
10600,-3.3411976,3
10700,-3.3616363,3
10800,-3.3359048000000007,3
10900,-3.321904800000001,3
11000,-3.2981329800000005,3
11100,-3.3096829800000003,3
11200,-3.3123253200000002,3
11300,-3.29432534,3
11400,-3.28513706,3
11500,-3.27911536,3
11600,-3.27511502,3
11700,-3.2631150200000003,3
11800,-3.2431150200000003,3
11900,-3.2201849200000003,3
12000,-3.20218492,3
12100,-3.20954586,3
12200,-3.20257196,3
12300,-3.19057196,3
12400,-3.18719618,3
12500,-3.1691884000000003,3
12600,-3.1571884000000003,3
12700,-3.10093304,3
12800,-3.0553018799999996,3
12900,-3.0173112399999997,3
13000,-2.99331124,3
13100,-2.96931124,3
13200,-2.95531122,3
13300,-2.9615355599999997,3
13400,-2.95541162,3
13500,-2.9294096,3
13600,-2.9174095799999997,3
13700,-2.9194095800000004,3
13800,-2.9174095799999993,3
13900,-2.907409579999999,3
14000,-2.9094095799999997,3
14100,-2.9184329799999995,3
14200,-2.9340778999999992,3
14300,-2.9471779199999992,3
14400,-2.920820139999999,3
14500,-2.8964034199999995,3
14600,-2.8764034199999995,3
14700,-2.8643354599999995,3
14800,-2.8574124199999997,3
14900,-2.8294124199999997,3
15000,-2.7918698199999996,3
15100,-2.7804313599999997,3
15200,-2.7457657999999996,3
15300,-2.7137657999999996,3
15400,-2.70030498,3
15500,-2.6883049800000003,3
15600,-2.6583049800000005,3
15700,-2.6111494000000004,3
15800,-2.5831454200000006,3
15900,-2.5371362000000004,3
16000,-2.50713612,3
16100,-2.4651943400000005,3
16200,-2.4421948800000006,3
16300,-2.3915969400000003,3
16400,-2.36759694,3
16500,-2.32429428,3
16600,-2.3082946200000003,3
16700,-2.29029462,3
16800,-2.2350728000000006,3
16900,-2.2181295600000004,3
17000,-2.1742123600000007,3
17100,-2.1322536200000006,3
17200,-2.1028233800000007,3
17300,-2.086472400000001,3
17400,-2.025298880000001,3
17500,-2.0233066600000007,3
17600,-1.9952360600000005,3
17700,-2.0309297200000005,3
17800,-1.9986212800000005,3
17900,-1.9946212800000005,3
18000,-1.9540844800000003,3
18100,-1.9320163400000003,3
18200,-1.9040153600000005,3
18300,-1.8594672800000005,3
18400,-1.8475912200000004,3
18500,-1.8375932400000006,3
18600,-1.8119968200000005,3
18700,-1.7798255000000003,3
18800,-1.7458255000000003,3
18900,-1.7278201000000004,3
18914,-1.6858201000000004,3
19014,-1.6586162000000004,3
19114,-1.6204207600000005,3
19214,-1.5944207600000004,3
19275,-1.5767785400000005,3
19375,-1.5735909000000008,3
19475,-1.5615897000000007,3
19575,-1.5416576600000007,3
19675,-1.5180672800000006,3
19775,-1.4924565200000006,3
19797,-1.4880175200000005,3
19897,-1.4920634400000006,3
19911,-1.4847290000000006,3
20011,-1.4487611200000006,3
20111,-1.4262374200000005,3
20140,-1.4062374200000005,3
20240,-1.3857725800000005,3
20340,-1.3789281600000005,3
20440,-1.3709324800000005,3
20540,-1.3412732800000005,3
20640,-1.3412684200000005,3
20740,-1.3117480800000005,3
20840,-1.3254658800000005,3
20940,-1.3200638200000003,3
21040,-1.3132489800000002,3
21105,-1.3125733600000005,3
21119,-1.2845733600000002,3
21219,-1.2605733600000002,3
21319,-1.27979518,3
21337,-1.2637961000000004,3
21437,-1.2604640400000005,3
21452,-1.2544640400000004,3
21552,-1.2438942800000001,3
21652,-1.2142414200000002,3
21752,-1.2207388400000003,3
21852,-1.2107234200000003,3
21952,-1.1740959400000004,3
21992,-1.1486657400000002,3
22092,-1.1646049400000005,3
22192,-1.1236923400000003,3
22292,-1.1262291400000004,3
22392,-1.1202972800000004,3
22492,-1.0990975600000004,3
22592,-1.0993259200000003,3
22692,-1.0582393400000003,3
22792,-1.0397343800000003,3
22820,-1.0273308200000002,3
22885,-1.0155021400000002,3
22985,-1.0014859800000002,3
23024,-0.9814913800000001,3
23124,-0.9709231800000001,3
23224,-0.93351858,3
23324,-0.88521896,3
23424,-0.8410488600000001,3
23524,-0.8371334600000001,3
23531,-0.8247378200000001,3
23631,-0.8106405600000001,3
23731,-0.8145190000000001,3
23831,-0.8142116400000001,3
23931,-0.8098224000000002,3
23958,-0.8098224000000002,3
24058,-0.7781179400000001,3
24158,-0.7761179000000001,3
24258,-0.7900857800000002,3
24358,-0.7681513800000003,3
24458,-0.7496291000000003,3
24558,-0.7521532200000003,3
24658,-0.7615298600000002,3
24680,-0.7595298600000002,3
24780,-0.7851956400000002,3
24880,-0.7742086600000002,3
24893,-0.7996707800000002,3
24993,-0.7806576800000001,3
25093,-0.7793709200000002,3
25155,-0.7641857600000002,3
25255,-0.7515000000000002,3
25355,-0.7475,3
25455,-0.7352007,3
25555,-0.70168662,3
25655,-0.68768326,3
25737,-0.69293252,3
25744,-0.69293252,3
25844,-0.7016308600000001,3
25914,-0.7076347000000002,3
25945,-0.7083108000000002,3
26045,-0.6813418000000002,3
26145,-0.6729418600000001,3
26245,-0.6649285400000001,3
26345,-0.6629285000000003,3
26445,-0.6757963000000002,3
26545,-0.6550520000000002,3
26645,-0.6410499400000002,3
26745,-0.6342546200000003,3
26802,-0.6366040800000003,3
26902,-0.6516906600000003,3
27002,-0.6332953200000001,3
27102,-0.6090402400000001,3
27202,-0.5850498800000004,3
