x,y,seed,agent
13607,-1.4472589400000004,1,PPO
13707,-1.4054090400000003,1,PPO
13807,-1.3712232400000004,1,PPO
13907,-1.3505022400000004,1,PPO
14007,-1.3419729800000004,1,PPO
14028,-1.3276275600000007,1,PPO
14128,-1.3017555800000002,1,PPO
14228,-1.2877555800000002,1,PPO
14328,-1.2617555800000002,1,PPO
14428,-1.2258195200000002,1,PPO
14528,-1.22010664,1,PPO
14628,-1.2003896200000002,1,PPO
14728,-1.1683892200000003,1,PPO
14828,-1.1412127000000003,1,PPO
14928,-1.1323218200000005,1,PPO
15028,-1.0877479000000003,1,PPO
15128,-1.0936113600000006,1,PPO
15228,-1.0755212600000006,1,PPO
15328,-1.0544249800000003,1,PPO
15428,-1.0291035600000005,1,PPO
15528,-1.0290964400000004,1,PPO
15628,-1.0251029400000002,1,PPO
15728,-1.0039499200000004,1,PPO
15828,-0.9899499200000004,1,PPO
15928,-0.9795873800000005,1,PPO
16028,-0.9685939200000004,1,PPO
16128,-0.9532159800000004,1,PPO
16228,-0.9332159800000004,1,PPO
16328,-0.9267646600000002,1,PPO
16428,-0.9067649999999999,1,PPO
16528,-0.86340802,1,PPO
16628,-0.84532922,1,PPO
16728,-0.8453292199999999,1,PPO
16828,-0.8353292199999999,1,PPO
16928,-0.8153292200000001,1,PPO
17028,-0.80620194,1,PPO
17128,-0.7864324600000001,1,PPO
17228,-0.7692856400000001,1,PPO
17328,-0.7453978400000001,1,PPO
17428,-0.7299881000000001,1,PPO
17528,-0.7320113400000001,1,PPO
17628,-0.7110415800000001,1,PPO
17728,-0.7083175,1,PPO
17828,-0.6857560600000001,1,PPO
17928,-0.6579927999999999,1,PPO
18028,-0.6519919600000001,1,PPO
18128,-0.63264518,1,PPO
18228,-0.62464518,1,PPO
18328,-0.5986904600000001,1,PPO
18428,-0.5986904800000001,1,PPO
18528,-0.5967358600000001,1,PPO
18628,-0.6062949400000002,1,PPO
18728,-0.5972767800000003,1,PPO
18828,-0.5799977800000002,1,PPO
18928,-0.5876069600000003,1,PPO
19028,-0.5796069600000002,1,PPO
19045,-0.6017873600000002,1,PPO
19145,-0.5600557000000003,1,PPO
19158,-0.5560557000000003,1,PPO
19258,-0.5442752200000003,1,PPO
19358,-0.5303254000000002,1,PPO
19458,-0.5183253999999999,1,PPO
19558,-0.5103241800000001,1,PPO
19658,-0.4818658600000002,1,PPO
19758,-0.4524626200000002,1,PPO
19858,-0.4650365400000002,1,PPO
19958,-0.4591627200000003,1,PPO
20058,-0.4662077600000002,1,PPO
20158,-0.4753039000000002,1,PPO
20258,-0.4786057800000002,1,PPO
20358,-0.44284044000000017,1,PPO
20380,-0.43084044000000027,1,PPO
20480,-0.4259897800000002,1,PPO
20485,-0.4299897800000002,1,PPO
20585,-0.4243496000000002,1,PPO
20685,-0.4146823400000003,1,PPO
20785,-0.4160602800000002,1,PPO
20885,-0.4120238200000002,1,PPO
20985,-0.3999547800000002,1,PPO
21085,-0.3884008800000002,1,PPO
21185,-0.4117568400000002,1,PPO
21285,-0.38960956000000013,1,PPO
21385,-0.3756094000000002,1,PPO
21485,-0.34550512000000005,1,PPO
21585,-0.33657034,1,PPO
21685,-0.3305703399999999,1,PPO
21785,-0.33215898,1,PPO
21885,-0.32530511999999984,1,PPO
21985,-0.31322103999999984,1,PPO
22085,-0.30859707999999986,1,PPO
22185,-0.2887518199999998,1,PPO
22285,-0.2775110599999999,1,PPO
22385,-0.28155291999999993,1,PPO
22485,-0.28211433999999985,1,PPO
22501,-0.2998775999999998,1,PPO
22601,-0.2958784399999998,1,PPO
22701,-0.2891379399999999,1,PPO
22801,-0.27287762,1,PPO
22901,-0.2708776,1,PPO
23001,-0.25687759999999993,1,PPO
23101,-0.24468138,1,PPO
23201,-0.21397622,1,PPO
23301,-0.21240684,1,PPO
23401,-0.20440684,1,PPO
23501,-0.20441452,1,PPO
23601,-0.1929466,1,PPO
23608,-0.19294660000000002,1,PPO
23708,-0.21667826,1,PPO
23808,-0.17933346,1,PPO
23908,-0.19304966000000004,1,PPO
