x,y,seed
5000,-4.636893859999999,1
5100,-4.610893859999999,1
5200,-4.6088938599999985,1
5300,-4.56950012,1
5400,-4.5382964999999995,1
5500,-4.54811452,1
5600,-4.54811452,1
5700,-4.52508828,1
5800,-4.52326196,1
5900,-4.50726214,1
6000,-4.518148999999998,1
6100,-4.49227804,1
6200,-4.45430398,1
6300,-4.45030396,1
6400,-4.4279167400000015,1
6500,-4.403916720000002,1
6600,-4.39391672,1
6700,-4.3799167200000015,1
6800,-4.36191672,1
6900,-4.3672945200000015,1
7000,-4.3192945200000015,1
7100,-4.298301680000002,1
7200,-4.26997098,1
7300,-4.294781220000001,1
7400,-4.2770532999999995,1
7500,-4.259051880000001,1
7600,-4.225051880000001,1
7700,-4.2070517999999995,1
7800,-4.17705182,1
7900,-4.17106874,1
8000,-4.12306874,1
8100,-4.13306874,1
8200,-4.1130688599999985,1
8300,-4.090814779999999,1
8400,-4.06481478,1
8500,-4.032814779999999,1
8600,-4.00481478,1
8700,-3.99523288,1
8800,-3.98123288,1
8900,-3.96523288,1
9000,-3.9592328799999987,1
9100,-3.918573359999999,1
9200,-3.9089187799999987,1
9300,-3.88090546,1
9400,-3.86890546,1
9500,-3.8882016000000004,1
9600,-3.8826683,1
9700,-3.85032758,1
9800,-3.823065479999999,1
9900,-3.80962844,1
10000,-3.8087823199999993,1
10100,-3.78640614,1
10200,-3.77440614,1
10300,-3.74980446,1
10400,-3.76300592,1
10500,-3.7171879,1
10600,-3.6851879,1
10700,-3.70612182,1
10800,-3.6920113,1
10900,-3.6720113,1
11000,-3.64512608,1
11100,-3.64464748,1
11200,-3.64451054,1
11300,-3.61251056,1
11400,-3.61489778,1
11500,-3.59853382,1
11600,-3.5865334799999995,1
11700,-3.580533479999999,1
11800,-3.5745334799999986,1
11807,-3.502661059999999,1
11907,-3.4926610599999988,1
12007,-3.4976538999999995,1
12107,-3.49861796,1
12207,-3.48261796,1
12307,-3.4890341,1
12407,-3.47503552,1
12507,-3.48503552,1
12607,-3.4630355999999995,1
12707,-3.4330355799999994,1
12807,-3.41372716,1
12907,-3.4157269999999995,1
13007,-3.3877269999999995,1
13107,-3.3817269999999997,1
13207,-3.3879810599999995,1
13307,-3.37998106,1
13407,-3.3999357000000003,1
13507,-3.4019356800000007,1
13607,-3.38393566,1
13707,-3.37208576,1
13807,-3.35989996,1
13907,-3.32073392,1
14007,-3.30893656,1
14107,-3.2576197400000004,1
14207,-3.26231826,1
14307,-3.2503182600000007,1
14407,-3.2207952400000006,1
14507,-3.2187952400000013,1
14607,-3.205402220000001,1
14707,-3.1831653400000004,1
14807,-3.1491645200000007,1
14907,-3.1499978600000014,1
15007,-3.1363556800000016,1
15107,-3.108355680000001,1
15207,-3.1063556800000014,1
15307,-3.0563578400000013,1
15407,-3.0424981800000013,1
15507,-3.0439920000000007,1
15607,-3.027992,1
15707,-3.00399792,1
15807,-2.98599792,1
15907,-2.9484159199999995,1
16007,-2.9284159199999995,1
16013,-2.8945273199999995,1
16113,-2.8745273199999994,1
16213,-2.8465273199999994,1
16313,-2.8368913,1
16413,-2.8067060799999988,1
16513,-2.772706079999999,1
16613,-2.7527060799999985,1
16713,-2.7927014399999983,1
16813,-2.7787014399999985,1
16913,-2.7281323599999987,1
17013,-2.7154989999999986,1
17113,-2.6823789999999987,1
17213,-2.6515731599999985,1
17313,-2.6123976999999985,1
17413,-2.5823976999999987,1
17513,-2.562340139999999,1
17613,-2.548339799999999,1
17713,-2.5346733399999994,1
17813,-2.5166732999999994,1
17913,-2.4806732999999994,1
18013,-2.45267102,1
18113,-2.4146710000000007,1
18213,-2.3974813000000004,1
18313,-2.353189960000001,1
18413,-2.333189960000001,1
18513,-2.307189980000001,1
18613,-2.2850398800000007,1
18713,-2.2315740400000004,1
18813,-2.196723060000001,1
18913,-2.165177040000001,1
19013,-2.1444983200000003,1
19113,-2.07718928,1
19213,-2.0391892800000004,1
19313,-2.0043337600000006,1
19327,-1.9523337600000004,1
19427,-1.9137267800000004,1
19527,-1.8838210200000003,1
19627,-1.8698218400000004,1
19727,-1.8478224000000003,1
19827,-1.84184076,1
19848,-1.81584076,1
19948,-1.80749194,1
20048,-1.80149194,1
20148,-1.7873516,1
20248,-1.7449516,1
20259,-1.6989516,1
20359,-1.6920516800000005,1
20459,-1.6457162800000005,1
20559,-1.6438197400000003,1
20659,-1.6266093000000004,1
20681,-1.6266093000000004,1
20781,-1.6026093000000003,1
20822,-1.5726093000000003,1
20922,-1.5466093000000003,1
20954,-1.5207948600000003,1
21054,-1.4827548400000006,1
21154,-1.4647548400000006,1
21254,-1.3990096000000007,1
21354,-1.3510382600000006,1
21454,-1.3376066800000006,1
21554,-1.3176066600000012,1
21654,-1.292556680000001,1
21754,-1.2451929200000007,1
21854,-1.2324765600000007,1
21943,-1.2124765600000005,1
22043,-1.1789747600000005,1
22143,-1.1509749800000004,1
22243,-1.1370965600000005,1
22253,-1.1150967600000004,1
22353,-1.1110967600000003,1
22453,-1.0540796200000002,1
22553,-0.9979607800000004,1
22653,-0.9691504800000004,1
22753,-0.9454871400000004,1
22802,-0.9134871600000004,1
22902,-0.8741922400000005,1
23002,-0.8641922400000005,1
23102,-0.8725770800000004,1
23130,-0.8765941000000005,1
23230,-0.8712293400000004,1
23330,-0.8588968600000005,1
23430,-0.8876976000000004,1
23471,-0.8856976000000004,1
23571,-0.8812919200000005,1
23607,-0.8812919200000005,1
23707,-0.8992919200000005,1
23807,-0.8856293200000005,1
23907,-0.8617120800000003,1
24007,-0.8437120800000004,1
24107,-0.8337120800000004,1
24207,-0.8103302000000004,1
24307,-0.7786790200000003,1
24346,-0.7666790200000002,1
24446,-0.7666790200000002,1
24546,-0.7546016200000002,1
