#{"t_start": 1679338370.3839447, "env_id": null}
r,l,t
-1.96024,19,0.136238
-3.665758,43,0.237032
-10.645631,144,0.554198
-0.67009,32,0.619085
-6.109377,83,0.798002
-10.366382,172,1.151467
-0.848474,13,1.182057
-4.328331,66,1.308995
-0.85235,25,1.35934
-5.717976,68,1.496763
-3.627416,41,1.589446
-1.850502,32,1.658229
-87.787171,1139,3.749178
-43.357661,627,4.705101
-4.967847,75,4.784306
-3.381541,30,4.832609
-1.035199,37,4.905962
-1.293307,24,4.961883
-10.018661,146,5.261052
-1.21693,31,5.325497
-8.791181,133,5.55872
-1.299959,7,5.567624
-6.136923,122,5.826993
-2.786141,68,5.971392
-0.048889,13,6.000117
-1.212255,10,6.022386
-0.733774,11,6.047569
-2.796548,52,6.14823
-0.928596,11,6.171431
-1.730175,32,6.246227
-1.599725,21,6.283931
1.439842,27,6.343838
-1.799941,17,6.379219
-2.01978,35,6.455962
-1.523858,19,6.490939
-0.148642,32,6.565566
-1.356868,54,6.679062
-1.360216,13,6.699512
-0.354837,7,6.716141
-1.191848,21,6.761545
0.842576,48,6.858541
-1.112737,53,6.970084
-1,16,7.00194
-0.627322,24,7.050919
0.854245,15,7.082489
-1,16,7.114152
0.34954,17,7.15713
-0.366568,31,7.21244
-0.130521,25,7.270055
-1,24,7.312299
-1,25,7.36636
-1.2,30,7.420852
-1.1,16,7.461171
-0.089521,25,7.510515
-1.1,23,7.556938
0.415897,13,7.583131
-1.17913,12,7.606736
-0.883744,13,7.63348
0.216844,34,7.714877
-1.2,14,7.745968
-1.1,16,7.782122
-0.249406,33,7.847044
-1.1,23,7.895227
-1,16,7.927107
-1.1,24,7.975799
-1,16,8.007995
-1,24,8.056783
-1.299822,17,8.089556
-1.2,21,8.137388
-1,25,8.186833
-1,25,8.236636
-1,25,8.29423
-0.991791,20,8.330787
-1,25,8.380431
-1.2,29,8.440701
-1.1,23,8.489312
-0.519315,17,8.522095
-1,12,8.55199
-0.069609,21,8.597244
-1,16,8.62363
-1.1,24,8.660578
-1,16,8.695491
-1,24,8.745023
-1.198723,19,8.789685
0.079485,24,8.83846
-1.006608,16,8.870453
-1,23,8.904034
-1,23,8.952003
-1,16,8.9919
-1,24,9.040417
-1,16,9.068072
-1,24,9.112488
-1,16,9.152505
-1,24,9.201334
-1.1,17,9.229649
-1.000123,22,9.281704
-0.790576,24,9.330579
-1.199955,11,9.34956
-0.546904,34,9.416559
-1.1,13,9.444611
-0.72196,21,9.489842
-1,23,9.538255
-1.1,16,9.569854
-1,24,9.618764
-1,16,9.650371
-0.156881,24,9.699225
-1,16,9.769455
-0.114281,26,9.819657
-1,12,9.853254
-0.601673,24,9.90286
-1.123858,30,9.965716
-1,25,10.002831
-0.959912,18,10.043649
-0.920303,22,10.08739
-1.095684,27,10.142024
-1,16,10.173843
-1,24,10.222373
-1.174618,18,10.2575
-1.090515,16,10.289129
-1,23,10.335379
-1.079149,25,10.384777
-1,23,10.432825
-1,16,10.464716
-1,24,10.513911
-1,16,10.54565
-1.1,24,10.58658
-1,16,10.602152
-1.099995,24,10.626754
-1,16,10.694083
-0.114551,23,10.720172
-1.136442,25,10.745656
-1,23,10.767295
-1,23,10.793664
-1.201816,18,10.812685
-1.036164,13,10.824854
-1,19,10.844429
-1,16,10.876639
-1,24,10.925556
-1,16,10.957686
-1,24,11.006774
-1,16,11.038738
-1,24,11.08784
-1,16,11.115682
-0.990436,26,11.174048
-1,23,11.222108
-1,16,11.249878
0.296586,27,11.314775
-1,25,11.359921
-1.099999,27,11.418322
-1,16,11.450312
-1,24,11.499119
-1,16,11.530743
-1,24,11.5799
-1,15,11.611168
-1.1,20,11.681854
-1.1,17,11.71448
-1,23,11.758887
-0.864,16,11.786221
-1,24,11.834628
-1,16,11.870529
-0.281985,26,11.920052
-1,23,11.968505
-1,16,11.996378
-1.1,33,12.056396
-1,23,12.107045
-1,23,12.155378
-1,16,12.187167
-1.1,26,12.237382
-1.1,25,12.287112
-1,23,12.335626
-1,16,12.367563
-1,24,12.416671
-1,16,12.44855
-1,24,12.502012
-1,16,12.534122
-1,24,12.58267
-1,16,12.61465
-0.668668,24,12.663703
-1,16,12.691406
-1,24,12.739901
-1,16,12.775878
-1,24,12.831501
-1,16,12.863448
-1,24,12.91274
-1.099959,20,12.951868
-1,16,12.983637
-1,24,13.032657
-1,16,13.064443
-1.061434,32,13.135063
-1.052806,20,13.179749
-1,25,13.229419
-0.71092,22,13.275063
-1,13,13.304868
-1,25,13.354276
-1.1,16,13.386321
-1.099993,23,13.425956
-1.1,25,13.467702
-1.1,25,13.528829
-1,23,13.577049
-1,16,13.60483
-0.687595,24,13.653929
-1,16,13.689879
-1,24,13.744196
-1,16,13.759943
-1,24,13.784249
-1,16,13.799998
-1,24,13.824451
-1,16,13.840142
-1,24,13.864373
-1.099357,17,13.880666
-1,23,13.9044
-1,16,13.920173
-1,24,13.944636
-1,16,13.959936
-1,24,13.984513
-1,16,14.000074
-1,24,14.024682
-1,15,14.039806
-1,16,14.055179
-1.099994,24,14.07989
-1,15,14.094948
-1,16,14.110608
-1,24,14.13474
-1,16,14.150392
-1,24,14.1752
-0.913937,17,14.191039
-0.944205,23,14.214833
-1,16,14.230738
-1,24,14.255167
-1,16,14.270918
-1.099999,24,14.295499
-1,16,14.311112
-1.099551,27,14.339694
-1,25,14.364896
-1,25,14.413952
-1.1,27,14.468662
-1.09988,19,14.508942
-1,23,14.547292
-1,23,14.599475
-1,16,14.631577
-1,24,14.684594
-1,16,14.71682
-1,24,14.765982
-1,16,14.798007
-1,24,14.850706
-1,16,14.87811
-1,24,14.927289
-1,16,14.959599
-1,24,15.00862
-1,16,15.036541
-1,24,15.089167
-1,16,15.154284
-1.1,24,15.228251
-1,16,15.276557
-1,24,15.358263
-1,16,15.406722
-1,24,15.455352
-1,16,15.486994
-1,24,15.543357
-1,16,15.574934
-1,24,15.615342
-1,16,15.646387
-1,24,15.703001
-1,16,15.734855
-1,24,15.77519
-1,16,15.80695
-1,24,15.863686
-1,16,15.910948
-1,24,15.935283
-1,16,15.982691
-1,24,16.023189
-1,16,16.054686
-1,24,16.095283
-1,16,16.126884
-1,24,16.18278
-1,16,16.214345
-1,24,16.258895
-1,16,16.290238
-1,24,16.346598
-1,16,16.378269
-1,24,16.418598
-1,16,16.450082
-1,24,16.506804
-1,16,16.538616
-1,24,16.582797
-1,16,16.614552
-1,24,16.670746
-0.900034,16,16.70261
-1,24,16.743181
-1,16,16.774935
-1,24,16.83092
-1,16,16.862641
-1,24,16.911024
-1,16,16.942412
-1,24,16.999256
-1,16,17.01466
-1,24,17.066624
-1,16,17.098531
-1.1,29,17.15879
-1,16,17.190559
-1,24,17.252926
-1,16,17.288629
-1,24,17.329223
-1,16,17.356989
-1,24,17.413559
-1,16,17.445178
-1,24,17.493388
-1,16,17.532935
-1,24,17.57298
-1,16,17.604307
-1,24,17.64436
-1,16,17.675736
-1,24,17.732182
-1,16,17.763423
-1,24,17.803619
-1,16,17.835035
-1,24,17.891798
-1,16,17.923319
-1,24,17.955938
-1,16,17.971715
-1,24,17.996327
-1,16,18.012068
-1,24,18.036688
-1,16,18.052254
-1,24,18.076579
-1,16,18.09289
-0.72504,26,18.120149
-1,23,18.144232
-1,16,18.160118
-1.099998,24,18.184829
-1.099668,16,18.200586
-1,24,18.224698
-1,16,18.240519
-1,24,18.265312
-1,16,18.280944
-0.043062,24,18.305501
-1,16,18.320956
-1,24,18.345694
-1,16,18.361304
-1,24,18.385869
-1,16,18.401481
-1,24,18.425878
-1,16,18.458263
-1,24,18.497372
-1,16,18.525172
-1,24,18.574048
-1.1,17,18.614847
-1,23,18.663386
-1,16,18.691242
-0.055225,24,18.739958
-1,16,18.784954
-1,24,18.833398
-1,16,18.865683
-1,24,18.914429
-1,16,18.954062
-1,24,19.002465
-1,16,19.030175
-1,24,19.078596
-1,16,19.106278
-1,24,19.154845
-1,16,19.194716
0.883364,27,19.247356
-0.965913,15,19.274755
-1,25,19.323908
-1,25,19.385094
-1.199702,18,19.418161
-1,17,19.444419
-1.1,20,19.488862
-1,25,19.538284
-1,25,19.58735
-1,25,19.636799
-1.2,29,19.696532
-1,23,19.745115
-1,16,19.777015
-1,24,19.82614
-1,16,19.857789
-1,24,19.906572
-1,16,19.938129
-1,24,19.987071
-1,16,20.018845
-1,24,20.067515
-1,16,20.099251
-1,24,20.147944
-1.099965,19,20.191725
-1,23,20.237482
-1,23,20.285845
-1,16,20.317648
-1,24,20.366424
-1,16,20.398748
-1,24,20.447555
-1,16,20.471388
-1,24,20.51971
-1,16,20.559449
-1,24,20.607612
-1,16,20.635052
0.88817,24,20.683279
-1,16,20.710751
-1.241332,38,20.798353
-1,23,20.848343
-1,23,20.890167
-1,16,20.930042
-1,24,20.970547
-1,16,21.010123
-1,24,21.050884
-0.350251,18,21.093786
-1,25,21.143127
-1,25,21.192332
-1,25,21.249707
-1,25,21.298281
-1,25,21.347409
-0.965913,15,21.374552
-1,25,21.423615
-1,25,21.473432
-1.1,25,21.522418
-1,25,21.571328
-1,25,21.620512
-1,25,21.682204
