x,y,seed
5000,-4.34112966,4
5100,-4.3444803400000005,4
5200,-4.3284803400000005,4
5300,-4.273119680000001,4
5400,-4.230831660000001,4
5500,-4.208739780000001,4
5600,-4.198739780000001,4
5700,-4.143852960000001,4
5800,-4.132574200000001,4
5900,-4.112575260000002,4
6000,-4.107992560000001,4
6100,-4.080044080000001,4
6200,-4.014070020000001,4
6300,-3.972066880000001,4
6400,-3.9193848800000013,4
6500,-3.9053848600000007,4
6600,-3.8653848600000007,4
6700,-3.8273848600000004,4
6800,-3.7713848600000004,4
6900,-3.7294511000000004,4
7000,-3.7154511000000006,4
7100,-3.6803967600000003,4
7200,-3.644401,4
7300,-3.6458427799999997,4
7400,-3.652393139999999,4
7500,-3.604392979999999,4
7600,-3.600392979999999,4
7700,-3.564374359999999,4
7800,-3.522374379999999,4
7900,-3.492301779999999,4
8000,-3.4463017799999993,4
8100,-3.412301779999999,4
8200,-3.358301839999999,4
8213,-3.2823018399999992,4
8313,-3.222301799999999,4
8413,-3.165239679999999,4
8513,-3.133239699999999,4
8613,-3.1058492599999994,4
8713,-3.0578482199999995,4
8813,-3.01184822,4
8913,-2.95379734,4
9013,-2.9089573200000003,4
9113,-2.8889573200000003,4
9213,-2.8512341,4
9313,-2.8312341,4
9413,-2.80523866,4
9513,-2.75927138,4
9613,-2.74893066,4
9713,-2.7287312999999997,4
9813,-2.6773105399999997,4
9913,-2.67929832,4
10013,-2.6338696399999995,4
10113,-2.5981514799999994,4
10213,-2.5898338199999995,4
10313,-2.588121839999999,4
10413,-2.558213719999999,4
10513,-2.5161829999999994,4
10613,-2.514090339999999,4
10713,-2.4579863199999994,4
10813,-2.4198528399999994,4
10913,-2.37335202,4
11013,-2.3542544999999997,4
11113,-2.3702289599999995,4
11213,-2.3522320999999997,4
11313,-2.30124872,4
11413,-2.25930304,4
11513,-2.2633030400000003,4
11613,-2.23530304,4
11713,-2.23530304,4
11813,-2.2054117000000004,4
11913,-2.16671328,4
12013,-2.13576762,4
12113,-2.1376565000000003,4
12213,-2.1030319800000004,4
12313,-2.0751698400000005,4
12413,-2.0451700000000006,4
12513,-1.9911700000000006,4
12613,-1.9691886200000008,4
12713,-1.9442753200000007,4
12813,-1.9238777800000006,4
12913,-1.8858767400000003,4
13013,-1.8325808000000001,4
13113,-1.8014773800000004,4
13213,-1.80547632,4
13313,-1.7738719600000001,4
13413,-1.7709335600000002,4
13513,-1.7382916600000002,4
13613,-1.7184014600000002,4
13713,-1.7244025000000005,4
13813,-1.7064025000000005,4
13913,-1.6964533800000001,4
14013,-1.66215614,4
14113,-1.6129800600000002,4
14213,-1.5989800600000001,4
14313,-1.5714184800000002,4
14413,-1.55741864,4
14513,-1.5434185000000002,4
14613,-1.5094150800000001,4
14713,-1.47741396,4
14813,-1.47734346,4
14913,-1.4267220200000004,4
14919,-1.4081507000000004,4
15019,-1.3918688600000004,4
15119,-1.3365350800000004,4
15219,-1.3065350200000003,4
15319,-1.2945350200000003,4
15419,-1.2738185200000003,4
15519,-1.2478185200000005,4
15619,-1.2298185200000005,4
15719,-1.2018414600000003,4
15819,-1.1929309800000003,4
15919,-1.1775785000000003,4
16019,-1.1455784200000005,4
16119,-1.1295784200000005,4
16219,-1.1434843600000004,4
16228,-1.1334300600000005,4
16328,-1.0859770400000004,4
16428,-1.0598404600000004,4
16528,-0.9971537200000004,4
16628,-0.9730749200000002,4
16728,-0.9497733400000001,4
16828,-0.9277733200000001,4
16928,-0.8898014000000002,4
17028,-0.8744259200000001,4
17128,-0.8330036200000001,4
17228,-0.8280183200000001,4
17328,-0.82646324,4
17336,-0.81446324,4
17436,-0.8073765400000001,4
17536,-0.78186416,4
17636,-0.7570359800000002,4
17736,-0.7486998800000001,4
17836,-0.7315695600000001,4
17936,-0.71957062,4
17982,-0.7351750200000001,4
18082,-0.7211750200000001,4
18182,-0.6993578800000002,4
18282,-0.6794656800000003,4
18382,-0.6501081000000003,4
18482,-0.6300412200000004,4
18582,-0.6120398200000003,4
18606,-0.6143370600000002,4
18706,-0.6087331600000002,4
18806,-0.5880204600000001,4
18906,-0.5621576800000001,4
19006,-0.5115353800000001,4
19056,-0.5155355400000001,4
19156,-0.5055389600000001,4
19256,-0.49932486000000015,4
19356,-0.4692677800000001,4
19456,-0.48388922000000006,4
19556,-0.46588900000000005,4
19656,-0.45134148000000013,4
19756,-0.45138784000000004,4
19856,-0.4433879000000001,4
19956,-0.4274027800000001,4
20056,-0.41967348000000004,4
20156,-0.41961478,4
20256,-0.41395380000000004,4
20356,-0.41206434000000003,4
20456,-0.40178040000000015,4
20556,-0.37485916,4
20656,-0.3667376000000002,4
20756,-0.3547334800000001,4
20762,-0.35849292000000005,4
20862,-0.34209246000000015,4
20904,-0.3595454800000001,4
21004,-0.3347300600000001,4
21104,-0.32985050000000016,4
21204,-0.3399293000000001,4
21304,-0.32812658000000006,4
21387,-0.32336268,4
21487,-0.32144148000000006,4
21587,-0.31542892000000006,4
21687,-0.31866588000000007,4
21787,-0.30586726000000003,4
21887,-0.2882304600000001,4
21987,-0.2518606600000001,4
22087,-0.23978598000000012,4
22187,-0.23166228000000005,4
22287,-0.22624324000000007,4
22387,-0.24187104000000006,4
22405,-0.26810478000000015,4
22505,-0.24468854000000004,4
22509,-0.24468854000000004,4
22609,-0.23438746,4
22709,-0.23284152,4
22809,-0.21822909999999998,4
22909,-0.21358525999999997,4
23009,-0.20339855999999998,4
23039,-0.21339995999999997,4
23139,-0.19539994,4
23239,-0.16046548,4
23260,-0.17917817999999996,4
23360,-0.18049699999999996,4
23460,-0.19994907999999995,4
23560,-0.17043934,4
23660,-0.15114247999999997,4
23760,-0.15533979999999997,4
23860,-0.16145359999999997,4
23882,-0.17145359999999996,4
23982,-0.15046003999999996,4
24082,-0.14177961999999994,4
24182,-0.15843925999999997,4
24202,-0.17043925999999993,4
24302,-0.15617927999999992,4
24402,-0.15264791999999994,4
24502,-0.1273699,4
24602,-0.12512054,4
24702,-0.12112042000000005,4
24734,-0.13140436000000003,4
24776,-0.1583256,4
24876,-0.15844644000000002,4
24921,-0.17245056000000003,4
25021,-0.13461554000000003,4
25121,-0.13212602000000004,4
25221,-0.11605467999999998,4
25321,-0.12441152000000001,4
25419,-0.15797782000000005,4
25519,-0.13808631999999998,4
25547,-0.15188903999999998,4
25647,-0.1387976,4
25693,-0.15079759999999998,4
25793,-0.15074378,4
25824,-0.16492911999999998,4
25924,-0.15788388,4
26024,-0.16022214,4
26124,-0.18052696,4
26224,-0.1911057,4
26271,-0.20522939999999998,4
26287,-0.22347765999999997,4
26387,-0.21521716,4
26487,-0.17796176000000002,4
26587,-0.17846743999999998,4
26687,-0.15973706000000001,4
26787,-0.15439042000000003,4
26793,-0.1703954,4
26861,-0.20855281999999997,4
26961,-0.19831388,4
27029,-0.22256745999999997,4
27044,-0.22256746,4
27144,-0.22456746,4
27244,-0.23792912,4
27344,-0.21256311999999997,4
27444,-0.19362664,4
27461,-0.21279687999999997,4
27561,-0.22307791999999996,4
27661,-0.22427081999999998,4
27755,-0.23628871999999998,4
27855,-0.2333582,4
27955,-0.20168555999999999,4
28000,-0.24067934,4
28082,-0.26190726,4
28131,-0.27825102,4
28231,-0.25206414,4
28331,-0.2607136,4
28431,-0.24263422,4
28531,-0.26376146,4
28631,-0.2636718,4
28731,-0.2396762,4
28781,-0.2396762,4
28881,-0.20758825999999997,4
28981,-0.18823952,4
28992,-0.18823951999999997,4
29007,-0.22607453999999993,4
29107,-0.22696451999999995,4
29207,-0.20483459999999998,4
29307,-0.19357199999999997,4
29353,-0.193572,4
29453,-0.19134405999999998,4
29553,-0.1714047,4
29653,-0.17107498,4
29753,-0.15499507999999998,4
29853,-0.1444102,4
29876,-0.14441020000000002,4
29893,-0.16723935999999995,4
29993,-0.16476884,4
30093,-0.14311707999999998,4
30193,-0.12232838000000001,4
30293,-0.08644120000000002,4
30393,-0.06750796000000003,4
30493,-0.07404212000000002,4
30593,-0.08123816000000002,4
30693,-0.09398086,4
30793,-0.08053768,4
30893,-0.0741647,4
30992,-0.06303034,4
31092,-0.017632560000000026,4
31192,-0.02417384000000002,4
31292,0.01127276,4
31392,0.05048563999999999,4
31433,0.03448562000000001,4
31533,0.021722480000000002,4
31633,0.031107539999999986,4
31733,0.012065519999999962,4
31833,0.038657459999999984,4
31930,0.017429059999999986,4
32030,0.02541365999999999,4
32040,0.025413660000000008,4
32050,0.0044298999999999936,4
32098,-0.027242740000000005,4
32198,-0.011242740000000005,4
32298,0.014680019999999995,4
32398,0.032736140000000004,4
32498,0.06376860000000001,4
32598,0.07670500000000001,4
32622,0.03861774000000001,4
32713,0.04345291999999999,4
32813,0.047163199999999995,4
32865,0.009167479999999999,4
32965,0.02720757999999999,4
33065,0.01845132,4
33165,0.010027519999999982,4
33265,0.049968679999999994,4
33365,0.06419970000000001,4
33465,0.05839293999999998,4
33565,0.051582559999999986,4
33653,0.015724799999999987,4
33753,0.03866701999999999,4
33853,0.03454759999999998,4
33953,0.031004659999999976,4
34053,0.022819579999999978,4
34153,0.022862799999999975,4
34253,0.01874243999999997,4
34332,0.018742439999999975,4
34432,0.030033540000000004,4
34532,0.026709420000000005,4
34632,0.006998979999999984,4
34704,-0.03128566000000002,4
34804,-0.053157180000000005,4
34904,-0.05409042000000001,4
34978,-0.06982100000000001,4
35078,-0.08388036,4
35178,-0.08536422,4
35278,-0.08929846000000004,4
35378,-0.09001322000000003,4
35478,-0.07442430000000004,4
35578,-0.10776326000000003,4
35678,-0.08877154000000004,4
35778,-0.09085430000000007,4
35804,-0.13006718000000003,4
35904,-0.09104422000000006,4
36004,-0.09210290000000007,4
36101,-0.10902282000000002,4
36201,-0.08973364000000005,4
36301,-0.0836963,4
36401,-0.06553046000000005,4
36416,-0.10161902000000002,4
36516,-0.06162468000000004,4
36616,-0.029397640000000023,4
36626,-0.02939764000000001,4
36726,-0.01146496000000002,4
36812,-0.02645310000000002,4
36912,-0.021711120000000025,4
37012,-0.059138120000000016,4
37112,-0.06695842000000003,4
37136,-0.06695842000000002,4
37236,-0.058080600000000024,4
37336,-0.05376464000000003,4
37346,-0.05376464000000003,4
37389,-0.07180474000000003,4
37489,-0.05830384000000005,4
37589,-0.05547782000000004,4
37606,-0.09541898000000004,4
37615,-0.10965000000000004,4
37715,-0.10202728000000004,4
37815,-0.10112038000000004,4
37826,-0.10112038000000005,4
37926,-0.10605580000000005,4
38026,-0.10604558000000006,4
38126,-0.10294962000000003,4
38137,-0.12094962000000004,4
38237,-0.10286624000000004,4
38260,-0.12339714000000004,4
38360,-0.1034226,4
38460,-0.09031348000000002,4
38469,-0.10631350000000003,4
38539,-0.12431980000000004,4
38639,-0.08463454000000002,4
38739,-0.08056572000000002,4
38839,-0.06995972000000002,4
38884,-0.06995972000000002,4
38940,-0.08595972,4
38946,-0.10264372000000001,4
39046,-0.1024337,4
39146,-0.10774016000000002,4
39246,-0.11454662000000002,4
39346,-0.09830944000000003,4
39370,-0.13700024,4
39470,-0.14797062,4
39570,-0.13132510000000003,4
39670,-0.15234804000000002,4
39770,-0.15687849999999998,4
39870,-0.13777318,4
39970,-0.14917872000000001,4
40070,-0.14113373999999998,4
40086,-0.15729988,4
40090,-0.15729987999999998,4
40190,-0.17318509999999998,4
40290,-0.18217669999999994,4
40390,-0.15383025999999997,4
40490,-0.16004985999999993,4
40590,-0.15298445999999996,4
40612,-0.17578255999999998,4
40712,-0.17929098,4
40812,-0.18158805999999997,4
40912,-0.14251160000000002,4
41012,-0.13991507999999997,4
41112,-0.14268076,4
41212,-0.10772858000000003,4
41236,-0.10772858000000003,4
41257,-0.14456116,4
41357,-0.1339786,4
41457,-0.11648934000000005,4
41539,-0.11648934000000005,4
41639,-0.09768488000000006,4
41739,-0.11198266000000007,4
41839,-0.07208304000000004,4
41939,-0.05780190000000007,4
42039,-0.04569768000000006,4
42080,-0.06519006000000005,4
42180,-0.03979338000000004,4
42280,-0.04722218000000007,4
42380,-0.013856880000000044,4
42459,-0.014153600000000039,4
42559,-0.004327640000000054,4
42659,0.032032459999999985,4
42684,0.032032459999999985,4
42784,0.03126242,4
42790,0.013177939999999989,4
42890,0.003104879999999979,4
42990,0.02372603999999999,4
43036,0.023726039999999993,4
43042,0.023726039999999966,4
43081,-0.004723299999999993,4
43181,0.001825180000000007,4
43281,0.040197079999999996,4
43342,0.011901079999999998,4
43442,0.03703999999999997,4
43542,0.05263031999999996,4
43642,0.07034887999999995,4
43742,0.08028823999999996,4
43801,0.06428773999999994,4
43876,0.02735128000000001,4
43882,0.003467639999999987,4
43982,0.001977080000000006,4
44082,0.04055080000000001,4
44182,0.08142351999999997,4
44282,0.09731693999999995,4
44382,0.11069689999999997,4
44482,0.11335666000000003,4
44494,0.08564358000000001,4
44512,0.06964354,4
44612,0.09792341999999997,4
44712,0.10038517999999995,4
44739,0.07597051999999996,4
44839,0.053150159999999995,4
44939,0.042768299999999995,4
45034,0.0325782,4
45134,0.02404591999999999,4
45234,0.04509956000000001,4
45334,0.06230329999999994,4
45390,0.023968979999999983,4
45490,0.028927699999999994,4
45590,0.06578663999999997,4
45618,0.02716621999999998,4
45718,0.02538715999999998,4
45795,-0.014512460000000005,4
45895,-0.010179040000000004,4
45995,-0.020287020000000003,4
46095,0.007301719999999999,4
46195,-0.002071540000000003,4
46295,-0.006812420000000005,4
46395,-0.01516470000000001,4
46411,-0.03484252,4
46493,-0.06906870000000001,4
46545,-0.10542880000000003,4
46645,-0.08155284000000002,4
